iter	Passed	Remaining
641	5995	87385
642	6004	87383
643	6014	87383
644	6024	87374
645	6033	87364
646	6057	87568
647	6066	87556
648	6075	87541
649	6085	87531
650	6094	87517
651	6104	87519
652	6113	87501
653	6122	87498
654	6133	87502
655	6141	87482
656	6150	87469
657	6159	87449
658	6168	87440
659	6177	87426
660	6186	87402
661	6194	87383
662	6203	87365
663	6211	87340
664	6220	87321
665	6229	87312
666	6238	87290
667	6247	87277
668	6255	87255
669	6265	87243
670	6274	87229
671	6284	87233
672	6293	87214
673	6301	87197
674	6310	87182
675	6318	87155
676	6327	87140
677	6336	87123
678	6345	87110
679	6354	87091
680	6364	87086
681	6372	87062
682	6381	87055
683	6390	87038
684	6399	87025
685	6408	87005
686	6416	86986
687	6425	86966
688	6434	86948
689	6443	86940
690	6452	86927
691	6461	86912
692	6469	86891
693	6479	86879
694	6488	86866
695	6497	86857
696	6506	86840
697	6515	86827
698	6524	86815
699	6532	86790
700	6541	86781
701	6551	86771
702	6561	86773
703	6570	86764
704	6580	86762
705	6590	86754
706	6599	86741
707	6609	86742
708	6618	86734
709	6627	86723
710	6637	86712
711	6645	86691
712	6655	86686
713	6665	86684
714	6674	86681
715	6684	86677
716	6694	86678
717	6705	86681
718	6715	86690
719	6728	86717
720	6738	86720
721	6748	86723
722	6758	86718
723	6768	86721
724	6778	86717
725	6789	86725
726	6799	86722
727	6809	86721
728	6819	86720
729	6827	86704
730	6837	86697
731	6845	86673
732	6855	86667
733	6864	86662
734	6873	86646
735	6882	86624
736	6891	86612
737	6900	86598
738	6908	86578
739	6917	86556
740	6925	86537
741	6934	86525
742	6943	86502
743	6952	86493
744	6961	86487
745	6971	86479
746	6981	86478
747	6989	86458
748	7000	86460
749	7010	86457
750	7019	86451
751	7029	86451
752	7039	86444
753	7049	86446
754	7058	86437
755	7068	86436
756	7078	86425
757	7086	86408
758	7096	86403
759	7104	86378
760	7113	86366
761	7121	86341
762	7131	86330
763	7140	86322
764	7149	86302
765	7157	86285
766	7166	86265
767	7174	86242
768	7182	86222
769	7191	86203
770	7200	86195
771	7209	86176
772	7218	86159
773	7228	86158
774	7238	86156
775	7246	86138
776	7255	86118
777	7265	86116
778	7274	86113
779	7284	86103
780	7295	86116
781	7306	86126
782	7316	86128
783	7327	86131
784	7336	86124
